Collector (PI),field_number,Genus,Species,subspecies,needs_confirmation,order,sex,mass (g),date,Country,Departament,Municipio,Locality,vereda,reserva,Latitude_Original,Longitude_Original,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,Ecomorph Notes,lice ages,feather_mites_total,ticks_total,flies_total,fleas_total,others,Column
GAM,AMC 875,Metallura,iracunda,,,Apodiformes,U,,2008-07-06T07:00:00Z,Colombia,Cesar,Manaure,"Manaure, vda. Sabana Rubia, Casa de vidrio",vda. Sabana Rubia,Casa de vidrio,10°22'01.0',072°53'50.9'',3025,YES,,Universidad Icesi,"E1,C6",0,,0,2,1,0,,0,
GAM,JEA 676,Anisognathus,lacrymosus,pallididorsalis,,Passeriformes,M,,2008-07-06T07:00:00Z,Colombia,Cesar,Manaure,"Manaure, vda. Sabana Rubia, Casa de vidrio",Sabana Rubia,Casa de vidrio,10°21'50.3'',072°53'50.9'',3025,YES,,Universidad Icesi,"E1,E5",0,,0,0,1,0,,0,
GAM,NG10,Accipiter,ventralis,,,Accipitriformes,U,,2008-07-07T07:00:00Z,Colombia,Cesar,Manaure,"Manaure, vda. Sabana Rubia, Casa de vidrio",vda. Sabana Rubia,Casa de vidrio,10°22'01.0',072°53'50.9'',3025,YES,,Universidad Icesi,"E1,D10",0,,0,0,0,1,,0,
GAM,JEA 711,Scytalopus,perijanus,,,Passeriformes,M,,2008-07-13T07:00:00Z,Colombia,Cesar,Manaure,"Manaure, vda. El Cinco, arriba del Cinco",El Cinco,arriba del Cinco,10°21'50.3'',072°56'50.6'',2550,YES,,Universidad Icesi,"E1,B10",0,,0,0,7,0,,0,
GAM,JEA 713,Scytalopus,perijanus,,,Passeriformes,F,,2008-07-13T07:00:00Z,Colombia,Cesar,Manaure,"Manaure, vda. El Cinco, arriba del Cinco",El Cinco,arriba del Cinco,10°21'50.3'',072°56'50.6'',2550,YES,,Universidad Icesi,"E1,D4",0,,0,0,0,0,1,,
GAM,JEA 715,Dubusia,taeniata,taeniata,,Passeriformes,M,,2008-07-13T07:00:00Z,Colombia,Cesar,Manaure,"Manaure, vda. El Cinco, arriba del Cinco",El Cinco,arriba del Cinco,10°21'50.3'',072°56'50.6'',2550,YES,,Universidad Icesi,"E1,F3",0,,0,3,0,0,,0,
GAM,JEA 728,Vireo,leucophrys,leucophrys,,Passeriformes,F,,2009-03-17T07:00:00Z,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,D8",1,,ju,0,0,0,,0,
GAM,JEA 731,Mecocerculus,leucophrys,setophagoides,,Passeriformes,F,,2009-03-18T07:00:00Z,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,E6",1,,ad,0,0,0,,0,
GAM,JEA 736,Basileuterus,tristriatus,auricularis,,Passeriformes,F,,2009-03-19T07:00:00Z,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,D5",1,,ju,0,0,0,,0,
GAM,JEA 741,Mionectes,olivaceus,hederaceus,,Passeriformes,M,,2009-03-20T07:00:00Z,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,D4",1,,ju,0,0,0,,0,
GAM,JEA 742,Saltator,atripennis,caniceps,,Passeriformes,F,,2009-03-24T07:00:00Z,Colombia,Santander,Floridablanca,"Floridablanca, vda. La Judia, Reserva Maklenkes",vda. La Judia,Reserva Maklenkes,7°5'3.6'',073°1'14.2'',1700,YES,,Universidad Icesi,"E1,B6",0,,0,0,1,0,,0,
